Name,Address,Grade Spring 2020,Grade Fall 2019,Grade Spring 2019,Grade Fall 2018,Grade Spring 2018,Grade Fall 2017,Grade Spring 2017,Infection MRSA,Infection C Diff,Infection in Blood,Infection in Urinary Tract,Infection after Colon Surgery,Problem with Surgery Object Left in Patient Body,Problem with Surgery Wound Open,Problem with Surgery Complications,Problem with Surgery Collapsed Lung,Problem with Surgery Breathing Problem,Problem with Surgery Blood Clot,Problem with Surgery Accidental Cuts,Practices to Prevent Errors Order Medications through Computer,Practices to Prevent Errors Safe Medication Administration,Practices to Prevent Errors Handwashing,Practices to Prevent Errors Communication about Medicine,Practices to Prevent Errors Communication about Discharge,Practices to Prevent Errors Staff Work Together,Safety Problems Bed Sores,Safety Problems Patient Fals and Injuries,Safety Problems Air on Gas Bubble in Blood,Safety Problems Track and Reduce Risks,Doctor Nurse Staff Leadership,Doctor Nurse Staff Qualified Nurses,Doctor Nurse Staff Trained Doctors for ICU Patients,Doctor Nurse Staff Communication with Doctors,Doctor Nurse Staff Communication with Nurses,Doctor Nurse Staff Responsiveness of Hospital Staff
Memorial Hermann The Woodlands Hospital,"9250 Pinecroft The Woodlands, TX",a,a,a,a,a,a,a,0.905,0.462,0.977,0.607,0.862,0,0.64,141.19,0.22,10.42,2.63,1.12,70,100,60,78,86,120,0.48,0.534,0,100,110.77,100,100,91,91,83
Memorial Hospital Bellville,"4500 Memorial Drive Belleville, IL",c,c,c,b,b,b,b,0.443,0.733,0.65,0.743,0.86,0,1.13,143.03,0.31,11.38,6.03,1.24,45,45,-2,80,89,-2,0.42,0.954,0,-2,-2,-2,5,91,91,85
Memorial Hospital,"500 London Avenue Marysville, OH",a,a,a,a,ns,ns,a,-1,0,-1,-1,-1,0,0.93,-1,0.26,5.89,4.05,1.23,100,75,60,78,90,120,0.39,0,0,100,120,100,5,93,93,89
Memorial Hospital Chattanooga,"2525 De Sales Avenue Chattanooga, TN",c,c,c,b,b,b,c,0.949,0.609,1.142,0.862,2.3,0,1.1,155.25,0.29,14.35,1.95,0.82,15,75,54,79,87,120,0.3,0.611,0,100,120,100,100,93,93,88
Memorial Hospital Pembroke,"7800 Sheridan Street Pembroke Pines, FL",a,a,a,a,a,a,a,0.676,1.013,1.408,0,1.321,0,0.91,-1,0.24,8.83,4.8,1.13,100,100,60,80,86,120,0.44,0.328,0,100,120,100,100,90,92,87
Memorial Hospital at Gulfport,"4500 13th Street Gulfport, MS",c,c,b,b,b,b,b,1.034,1.062,1.198,0.191,0.825,0,0.8,174.8,0.31,5.87,4.37,1.24,-2,-2,-2,72,87,-2,2.35,0.784,0,-2,-2,-2,5,91,91,89
Memorial Hospital Jacksonville,"3625 UNIVERSITY BLVD SOUTH Jacksonville, FL",a,b,b,c,c,c,c,1.191,0.337,0.716,0.83,0,0,0.81,154.47,0.2,9.32,2.95,0.81,100,100,60,74,82,120,0.13,0.25,0,100,120,100,100,88,88,80
Memorial Hospital of South Bend,"615 N. Michigan Street South Bend, IN",b,b,a,a,a,a,b,0.584,0.459,0.582,0.512,1.687,0,1.11,171.46,0.27,6.71,3.57,1.08,40,75,60,75,89,120,0.07,0.3,0,100,120,100,100,92,92,85
Memorial Hospital of Carbondale,"405 W. Jackson Street Carbondale, IL",c,b,c,c,b,b,a,1.113,1.237,0.599,0.221,0.935,0.131,0.82,169.25,0.31,10.48,4.09,1.17,100,100,42,82,88,120,0.26,0.131,0,100,120,94.12,5,92,93,89
Memorial Hospital of Sweetwater County,"1200 College Drive Rock Springs, WY",c,c,c,b,b,b,c,-1,0.402,-1,-1,-1,0,0.95,-1,0.26,9.16,4.67,1.24,45,45,-2,78,87,-2,0.34,0,0,-2,-2,-2,5,88,89,90
Memorial Hospital and Health Care Center,"800 W. 9th Street Jasper, IN",a,a,a,a,a,a,a,-1,0.293,-1,-1,1.89,0,0.88,154.11,0.27,3.32,2.98,1.08,40,100,60,83,87,120,1.09,0.678,0,100,120,100,-1,94,95,89
Memorial Regional Hospital,"3501 Johnson Street Hollywood, FL",b,b,a,a,a,a,b,0.948,0.852,0.229,0.975,1.597,0,0.83,111.48,0.38,6.96,5.94,1.27,100,100,60,78,87,120,0.55,0.78,0,100,120,100,100,91,92,84
Memorial Hospital of Tampa,"2901 W. Swann Avenue Tampa, FL",b,b,a,a,d,c,c,0.808,0.576,0,0.458,0.61,0,0.91,-1,0.28,7.1,2.83,1.12,100,100,60,78,84,120,0.55,0.679,0,100,120,100,5,89,90,85
Memorial Medical Center,"2450 South Telshor Boulevard Las Cruces, NM",a,a,a,b,b,a,b,0.433,0.228,0.218,0.498,0.671,0,1.16,170.03,0.32,5.13,3.71,1.26,100,100,60,76,87,120,0.14,0.639,0,100,120,100,100,88,88,81
Memorial Medical Center,"701 N. First Street Springfield, IL",b,c,b,c,c,c,c,0.793,0.849,0.844,0.763,0.726,0.054,1.51,178.96,0.27,5.91,4.21,0.93,40,100,60,79,89,110.77,0.39,0.323,0,100,120,100,100,91,91,83
Memorial Regional Hospital South,"3600 Washington Street Hollywood, FL",b,b,b,a,a,a,c,-1,0.597,-1,-1,-1,0,0.83,111.48,0.38,6.96,5.94,1.27,100,100,60,78,87,120,0.55,0.78,0,100,120,100,-1,91,92,84
Memorial Satilla Health,"1900 Tebeau Street Waycross, GA",a,b,a,b,c,c,ns,0.767,0.449,1.638,0.427,-1,0,0.91,-1,0.33,8.69,2.93,1.36,100,100,60,80,85,120,0.14,0.414,0,100,120,100,50,92,90,85
MemorialCare Orange Coast Medical Center,"9920 Talbert Avenue Fountain Valley, CA",b,b,a,a,a,a,a,0,0.718,0,0.171,0.252,0,1.11,148.88,0.39,9.65,3.59,1.67,100,100,60,76,86,120,0.13,0.603,0,100,110.77,100,5,90,90,84
MemorialCare Saddleback Medical Center,"24451 Health Center Drive Laguna Hills, CA",b,b,c,c,a,b,b,0,0.776,0.652,0.724,0.581,0.155,1.15,175.44,0.28,8.38,4.43,1.25,100,100,60,74,86,120,0.3,0,0,100,110.77,100,100,91,90,81
Menifee Valley Medical Center,"28400 McCall Boulevard Sun City, CA",c,c,c,c,d,f,c,-1,0.176,-1,0.634,-1,0,0.94,-1,0.26,9.09,3.52,1.25,100,75,60,66,81,120,0.34,0.927,0,100,120,100,50,86,85,76
Menorah Medical Center,"5721 W. 119th Street Overland Park, KS",b,b,b,c,b,b,a,0,1.013,0.35,0.705,0.561,0,0.82,168.72,0.29,5.57,3.39,1.32,100,100,36,78,89,110.77,0.11,0.151,0,100,110.77,94.12,50,90,90,84
Mercer County Community Hospital- Coldwater,"800 W. Main Street Coldwater, OH",c,a,a,a,c,b,b,-1,1.147,-1,-1,-1,0,0.93,-1,0.26,10.25,3.37,1.21,45,45,-2,79,86,-2,0.35,0,0,-2,-2,-2,5,93,94,91
Mercy General Hospital,"4001 J Street Sacramento, CA",a,a,b,c,a,a,a,0,0.411,0.818,0.854,0.2,0,0.86,168.01,0.45,9.68,5.51,1.86,100,100,54,80,88,120,0.21,0.529,0,100,120,94.12,100,92,92,85
Mercy Fitzgerald Hospital,"1500 Lansdowne Avenue Darby, PA",b,b,b,a,c,c,b,0,0.64,0.794,1.38,1.701,0,0.89,155.95,0.21,10.41,5.26,1.28,100,100,60,78,89,120,0.26,0.816,0,100,120,100,100,91,90,82
Mercy Health -  Tiffin Hospital,"45 St. Lawrence Drive Tiffin, OH",a,a,b,b,ns,ns,ns,-1,0.506,-1,-1,-1,0,0.95,-1,0.25,6.09,3.32,1.25,70,75,60,83,90,120,0.26,0.519,0,100,120,94.12,5,93,92,88
Mercy Health -  St. Vincent Medical Center,"2213 Cherry Street Toledo, OH",b,b,c,c,c,c,c,1.212,0.106,0.232,0.306,0.836,0,0.8,146.17,0.33,8.9,4.57,1.5,100,75,60,77,89,120,0.28,0.702,0,100,120,94.12,15,90,92,87
Mercy Gilbert Medical Center,"3555 S Val Vista Drive Gilbert, AZ",c,b,b,b,b,a,b,0.788,0.827,1.004,0.528,0.839,0,0.81,154.48,0.29,12.1,4.78,2.02,100,75,54,79,89,120,0.1,0.978,0,100,120,94.12,100,90,92,84
Mercy Health - Anderson Hospital,"7500 State Road Cincinnati, OH",c,c,c,c,a,a,ns,1.533,0.233,1.04,0.598,0.804,0,1.17,180.46,0.21,8.85,3.01,1.81,45,5,-2,79,88,-2,0.27,0.138,0,-2,-2,-2,5,91,93,84
Mercy Health - Clermont Hospital,"3000 Hospital Drive Batavia, OH",c,c,b,a,a,a,ns,-1,0.457,0,0,0,0,0.9,164.69,0.24,6.95,3.11,1.1,45,5,-2,77,90,-2,0.14,0.471,0,-2,-2,-2,5,91,93,82
Memorial Hixson Hospital,"2051 Hamill Road Hixson, TN",b,b,b,b,b,b,a,-1,0.636,0.617,0.348,0.951,0,1.1,155.25,0.29,14.35,1.95,0.82,15,75,54,79,87,120,0.3,0.611,0,100,120,100,100,93,93,88
Memorial Hospital West,"703 N. Flamingo Road Pembroke Pines, FL",b,b,a,a,a,a,b,0.767,0.692,0.296,2.004,0.275,0,0.86,122.82,0.23,9.87,5.11,0.94,100,100,60,78,86,120,1.23,0.9,0,100,120,100,100,92,92,84
Memorial Hospital Miramar,"1901 SW 172nd Avenue Miramar, FL",a,a,a,a,a,a,a,0,0.247,0,0,0,0,0.92,-1,0.3,6.22,4.8,1.18,100,100,60,80,90,120,0.61,1.428,0,100,120,100,100,92,92,84
Memorial Hospital East,"1404 Cross Street Shiloh, IL",d,c,c,c,ns,ns,ns,-1,1.522,-1,1.885,0.861,0,1.51,-1,0.24,12.68,3.21,1.18,45,45,-2,81,91,-2,0.57,0.69,0,-2,-2,-2,5,91,92,87
Mercy Health - Fairfield Hospital,"3000 Mack Road Fairfield, OH",b,b,b,a,a,a,ns,0.441,0.572,0.24,0.157,0.268,0,0.86,131.6,0.24,14.23,3.46,1.41,45,45,-2,81,89,-2,0.1,0.38,0,-2,-2,-2,-2,91,91,83
Mercy Health - St. Anne Hospital,"3404 W. Sylvania Avenue Toledo, OH",b,b,a,a,a,a,c,0,0,0.594,1.038,2.922,0,0.9,158,0.38,4.97,4.53,1.37,100,100,60,79,90,120,0.15,0.741,0,100,120,94.12,5,92,92,86
Mercy Health - Lorain Hospital,"3700 Kolbe Road Lorain, OH",a,b,a,a,a,a,f,1.403,0.499,0.223,0.209,1.485,0.151,0.89,155.38,0.21,6.11,2.6,1.04,100,100,60,79,88,110.77,0.28,0.151,0,100,110.77,94.12,50,92,92,85
Mercy Health - St. Charles Hospital,"2600 Navarre Avenue Oregon, OH",c,c,c,c,b,a,c,2.103,0.271,0.48,0,1.592,0,0.89,155.51,0.24,13.95,4.16,1.04,100,75,60,73,90,120,0.61,0.25,0,100,120,94.12,5,88,91,78
Mercy Health - West Hospital,"3300 Mercy Health Blvd. Cincinnati, OH",c,c,c,b,a,a,ns,1.57,0.526,1.394,0.829,0.337,0,0.87,170.33,0.2,5.71,2.9,1.69,45,45,-2,75,86,-2,0.39,0.13,0,-2,-2,-2,-2,92,91,83
Mercy Health Hackley Campus,"1700 Clinton Street Muskegon, MI",a,a,b,b,c,b,b,0,0.443,-1,0.868,0,0,0.78,144.46,0.34,5.56,2.65,0.82,100,100,60,74,87,120,0.15,0.166,0,100,120,76.47,15,91,90,84
Mercy Health Lourdes,"1530 Lone Oak Road Paducah, KY",a,b,b,b,d,d,c,0.41,0.48,0.253,1.013,0.622,0,1.14,121.57,0.27,7.08,3.07,1.5,100,100,-2,76,84,-2,0.32,0.419,0,-2,-2,-2,-2,92,91,84
Mercy Health Mercy Campus,"1500 E. Sherman Boulevard Muskegon, MI",b,a,b,b,c,b,a,0.465,0.696,0.343,0.787,-1,0,0.78,144.46,0.34,5.56,2.65,0.82,100,100,60,74,87,120,0.15,0.166,0,100,120,76.47,15,91,90,84
Mercy Health Saint Mary's,"200 Jefferson Avenue SE Grand Rapids, MI",a,a,a,a,b,c,c,0.662,0.518,0.484,0.172,1.822,0,1.11,149.44,0.28,9.52,2.75,1.52,15,100,60,80,90,120,0.2,0.108,0,100,120,100,100,93,93,87
Mercy Hospital,"3663 S. Miami Avenue Miami, FL",b,c,b,b,a,a,a,0.601,0.639,1.167,0.147,0.401,0,0.88,163.4,0.33,16.47,4.21,1.32,100,100,60,77,80,120,0.42,0.709,0,100,120,100,100,90,89,82
Mercy Hospital - Downtown,"2215 Truxtun Avenue Bakersfield, CA",c,c,b,b,d,d,c,-1,0.58,0.925,0.946,0.334,0,0.88,180.16,0.23,15.93,3.93,1.33,100,100,60,79,84,120,0.85,0,0,72.73,120,100,15,89,91,85
Mercy Hospital - Coon Rapids,"4050 Coon Rapids Boulevard Coon Rapids, MN",c,c,b,c,c,c,a,0.399,0.662,0.962,0.728,0.856,0,0.83,161.46,0.22,2.42,3.17,1.33,45,5,-2,79,88,-2,0.33,0.299,0,-2,-2,-2,5,92,91,83
Mercy Hospital - Southwest,"400 Old River Road Bakersfield, CA",c,c,b,b,c,c,c,0.902,0.317,1.364,0.559,-1,0,0.88,180.16,0.23,15.93,3.93,1.33,100,100,60,79,84,120,0.85,0,0,72.73,120,100,15,89,91,85
Mercy Hospital Ada,"430 North Monte Vista Ada, OK",a,b,b,c,b,a,c,-1,0.419,0.668,0.944,2.922,0,1.18,142.76,0.24,5.78,3.01,1.07,100,100,60,78,89,120,0.35,0.349,0,100,120,100,50,91,90,88
Mercy Hospital Jefferson,"1400 Highway 61 South Festus, MO",a,a,a,a,a,a,a,1.153,0.415,1.514,0.925,0.655,0,1.14,145.84,0.21,5.68,4.25,1.02,100,100,48,80,90,120,0.09,0.463,0,100,120,100,100,92,92,86
Mercy Hospital Northwest Arkansas,"2710 Rife Medical Lane Rogers, AR",a,a,b,a,a,a,a,0.729,0.547,1.98,0.895,0.805,0,0.83,139.86,0.34,2.42,3.12,0.83,100,100,60,78,88,120,0.22,0.394,0,100,120,100,100,91,90,84
Mercy Hospital Lebanon,"100 Hospital Drive Lebanon, MO",a,a,a,a,ns,c,d,-1,0.924,-1,-1,-1,0,0.94,-1,0.26,8.98,3.29,1.23,100,100,60,77,88,120,0.33,0,0,100,120,100,50,91,91,85
Mercy Hospital Joplin,"100 Mercy Way Joplin, MO",a,a,a,a,a,a,a,0.482,0.37,0.819,1.497,0.76,0,1.08,175.68,0.19,4.44,2.1,0.89,100,100,60,76,86,120,0.17,0.939,0,100,110.77,100,100,90,91,85
Mercy Hospital Oklahoma City,"4300 West Memorial Road Oklahoma City, OK",a,a,a,a,a,a,b,0.78,0.262,0.504,0.868,0.249,0,0.7,166.43,0.2,6.16,1.54,0.99,100,75,60,76,87,120,0.72,0.519,0,100,120,100,100,93,90,83
Mercy Hospital Springfield,"1235 East Cherokee Street Springfield, MO",b,b,a,a,b,b,b,1.213,0.517,0.719,1.044,1.17,0,0.9,175.09,0.32,3.61,3.4,0.88,70,75,60,76,87,120,0.23,0.686,0,100,120,100,100,90,90,84
Mercy Hospital South,"10010 Kennerly Road St. Louis, MO",b,b,b,b,a,d,c,0.982,0.982,0.125,0.556,1.175,0,1.01,185.83,0.42,10.83,3.31,1.93,100,100,60,77,84,120,0.12,0.54,0,100,120,100,100,90,91,83
Mercy Hospital St. Louis,"615 S. New Ballas Road St. Louis, MO",a,a,a,a,a,a,a,0.828,0.668,0.313,0.307,0.089,0.057,0.94,159.89,0.32,2.83,3.62,0.63,100,100,60,79,88,120,0.23,0.344,0,100,120,100,100,91,91,84
Mercy Hospital of Folsom,"1650 Creekside Drive Folsom, CA",b,b,b,a,b,c,c,-1,0.873,0.402,0,0.554,0,0.89,141.81,0.23,12.5,3.2,1.88,100,100,60,78,88,110.77,0.41,0.235,0,81.82,110.77,94.12,50,91,91,82
Mercy Hospital - Unity Campus,"550 Osborne Road NE Fridley, MN",c,c,b,c,ns,ns,b,0.399,0.662,0.962,0.728,0.856,0,0.83,161.46,0.22,2.42,3.17,1.33,45,5,-2,79,88,-2,0.33,0.299,0,-2,-2,-2,5,92,91,83
Mercy Hospital and Medical Center,"2525 S. Michigan Avenue Chicago, IL",b,c,c,c,c,c,d,0.748,0.528,0,1.471,0.512,0,0.89,136.36,0.24,9.06,7.24,1.51,100,100,60,73,81,120,0.56,0.348,0,100,120,100,100,89,88,79
Mercy Hospital Ardmore,"1011 14th Avenue NW Ardmore, OK",a,a,a,a,c,c,c,0.613,0.321,0.62,0.824,0,0,1.43,149.45,0.21,5.16,3.07,1.53,70,75,60,80,86,120,0.27,0.513,0,100,120,100,50,92,91,87
Mercy Hospital of Iowa City,"500 E. Market Street Iowa City, IA",c,c,a,b,c,b,a,-1,0.715,0.692,0.58,-1,0,0.89,145.41,0.22,3.93,4.95,1.05,45,45,-2,77,89,-2,0.14,0.704,0,-2,-2,-2,5,93,91,83
Mercy Medical Center,"1000 N. Village Avenue Rockville Centre, NY",c,c,d,c,c,c,c,0.501,0.346,0,0.224,-1,0.168,0.9,178.55,0.29,9.21,5.75,1.91,100,100,60,69,82,120,2.26,0.505,0,100,120,100,100,87,87,76
Mercy Hospital Fort Smith,"7301 Rogers Avenue Fort Smith, AR",a,a,a,a,a,a,a,0.43,0.156,0.304,1.289,0.791,0,0.79,113.78,0.37,5.46,2.27,0.83,100,75,60,80,88,120,0.06,0.271,0,100,120,100,100,92,91,86
Mercy Hospital Washington,"901 E. Fifth Street Washington, MO",a,a,a,a,a,a,a,0.908,0.257,-1,0.728,0.257,0,1.44,168.51,0.23,3.61,3.85,1.33,100,100,60,80,91,120,0.4,0.276,0,100,120,100,100,92,91,84
Mercy Medical Center,"701 10th Street SE Cedar Rapids, IA",d,c,c,c,c,c,c,0.986,0.412,0.652,1.032,2.545,0,1.15,154.31,0.33,8.87,3.97,1.03,45,45,-2,78,88,-2,1.55,0.264,0,-2,-2,-2,5,92,92,82
Mercy Medical Center,"1320 Mercy Drive NW Canton, OH",b,b,b,a,b,b,c,0.284,0.98,0.151,0.766,0.578,0,0.89,129.5,0.28,6.27,3.68,1.73,70,100,60,78,89,120,0.8,0.617,0,100,120,100,100,88,91,83
Mercy Medical Center of Redding,"2175 Rosaline Avenue Redding, CA",c,c,c,c,b,b,b,1.024,0.595,0.633,1.077,2.541,0.083,1.24,170.11,0.27,10.47,3.46,1.95,100,100,42,77,87,120,1.04,0.918,0,100,101.54,94.12,100,89,91,83
Mercy Medical Center,"333 Mercy Avenue Merced, CA",c,c,c,b,c,b,c,1.034,0.399,2.613,1.014,0.334,0,0.87,143.14,0.23,12.15,3.23,1.54,70,75,60,81,85,120,0.35,0.547,0,100,120,94.12,50,87,91,82
Mercy Medical Center of Springfield,"271 Carew Street Springfield, MA",c,c,ns,b,b,c,c,0.899,0.467,0.59,1.489,1.352,0,0.82,146.44,0.29,7.88,4.36,0.89,70,75,30,77,90,120,0.3,0,0,90.91,110.77,70.59,100,91,91,86
Mercy Philadelphia Hospital,"501 South 54th Street Philadelphia, PA",b,b,b,a,b,b,a,0.622,0.189,2.385,0.256,0.941,0,0.89,155.95,0.21,10.41,5.26,1.28,100,100,60,78,89,120,0.26,0.816,0,100,120,100,100,91,90,82
Mercy Regional Medical Center,"1010 Three Springs Boulevard Durango, CO",a,b,c,c,b,a,a,-1,1.173,0.713,-1,0,0,0.89,163.11,0.32,6.24,3.31,1.37,100,100,60,82,91,120,0.73,0.958,0,100,120,100,100,94,93,89
Mercy San Juan Medical Center,"6501 Coyle Avenue Carmichael, CA",c,c,c,c,b,b,a,0.68,0.791,0.391,0.421,0.439,0.089,0.81,196.45,0.32,9.65,4.27,1.02,100,75,54,79,88,120,0.89,0.535,0,81.82,101.54,100,100,90,90,82
MercyOne Cedar Falls Medical Center,"515 College Street Cedar Falls, IA",a,c,d,c,ns,c,c,-1,0.81,-1,-1,-1,0,0.94,-1,0.26,10.69,3.78,1.24,-2,-2,-2,84,91,-2,0.37,0,0,-2,-2,-2,5,94,93,84
MercyOne Des Moines Medical Center,"1111 6th Avenue Des Moines, IA",c,d,c,d,c,c,d,0.48,0.508,0.511,0.484,0.615,0.047,0.88,187.23,0.48,13.37,3.36,1.83,45,75,60,78,86,120,0.72,1.232,0,100,120,94.12,100,90,91,80
MercyOne Clinton Medical Center - North Campus,"1410 N. Fourth Street Clinton, IA",c,c,c,c,b,a,a,-1,1.463,-1,0.574,1.481,0,0.92,156.81,0.33,5.08,3.08,1.17,45,45,-2,78,87,-2,0.2,0.835,0,-2,-2,-2,5,91,93,86
MercyOne Dubuque Medical Center,"250 Mercy Drive Dubuque, IA",b,b,c,b,a,a,a,0,0.279,0.599,0.707,0.587,0,0.91,151.79,0.24,12.85,3.36,1.11,45,45,-2,83,90,-2,0.17,0.532,0,-2,-2,-2,5,93,94,88
MercyOne North Iowa Medical Center,"1000 Fourth Street SW Mason City, IA",c,c,b,c,b,c,b,1.722,0.848,0.853,0.838,0,0,0.85,162.19,0.39,5.37,5.29,0.87,45,45,-2,76,89,-2,0.54,0.286,0,-2,-2,-2,5,90,91,85
MercyOne Siouxland Medical Center,"801 5th Street Sioux City, IA",c,c,c,c,c,c,c,0,0.951,1.177,0.485,0.34,0,1.09,179.03,0.24,10.5,3.63,1.13,45,45,60,73,85,120,0.21,0.708,0,100,110.77,100,5,89,90,82
MercyOne West Des Moines Medical Center,"1755 59th Place West Des Moines, IA",d,d,d,d,c,c,d,0.865,0.568,-1,2.253,-1,0.047,0.88,187.23,0.48,13.37,3.36,1.83,45,75,60,78,86,120,0.72,1.232,0,90.91,120,94.12,5,90,91,80
MercyOne Waterloo Medical Center,"3421 W. Ninth Street Waterloo, IA",c,c,c,c,c,c,c,0.517,0.212,0.809,0,0,0,1.2,194.64,0.23,7.11,4.25,1.12,45,45,-2,73,85,-2,0.17,0.237,0,-2,-2,-2,5,88,88,80
Mercyhealth Hospital Rockton Ave,"2400 N. Rockton Avenue Rockford, IL",c,c,c,c,c,c,c,1.162,1.017,0.502,1.147,0.725,0,0.82,172.9,0.25,12.52,3.4,2.4,-2,-2,-2,78,87,-2,0.09,0.413,0,-2,-2,-2,35,91,92,85
Merit Health Biloxi,"150 Reynoir Street Biloxi, MS",c,ns,ns,ns,ns,d,c,0,0.341,0,0,1.192,0,0.9,155.88,0.33,8.1,3.38,1.08,-2,-2,-2,71,85,-2,0.44,0.274,0,-2,-2,-2,5,90,87,80
Merit Health Central,"1850 Chadwick Drive Jackson, MS",c,d,d,d,d,d,c,1.718,0.458,1.052,1.023,0,0,0.93,170.09,0.32,8.65,4.01,1.48,15,75,42,74,79,120,0.13,0,0,100,120,94.12,100,88,88,79
Merit Health Rankin,"350 Crossgates Boulevard Brandon, MS",d,c,d,c,ns,d,c,-1,0.897,-1,-1,-1,0,0.92,-1,0.3,6.03,4.02,1.2,45,45,-2,71,84,-2,0.28,0.576,0,-2,-2,-2,5,91,88,81
Merit Health Natchez,"54 Seargent Prentiss Drive Natchez, MS",b,b,b,b,c,c,c,-1,0.196,-1,0.697,-1,0,0.91,-1,0.24,4.98,4.53,1.14,-2,-2,-2,79,85,-2,0.75,0.301,0,-2,-2,-2,5,94,92,83
Merit Health River Oaks,"1030 River Oaks Drive Flowood, MS",c,c,c,c,b,ns,ns,-1,0.563,0.679,0.835,-1,0,0.93,-1,0.25,5.91,4.64,1.18,45,45,-2,77,86,-2,0.27,0,0,-2,-2,-2,5,93,92,84
Merit Health River Region,"2100 Highway 61 North Vicksburg, MS",c,d,d,d,d,d,c,1.904,0.266,1.084,0.193,0.829,0,1.14,177.42,0.31,15.97,4.03,1.02,-2,100,60,78,85,120,2.32,0.605,0,100,101.54,88.24,5,91,91,83
Merit Health Wesley,"5001 Hardy Street Hattiesburg, MS",c,b,b,b,c,c,a,0.515,0.425,1.524,1.118,1.937,0,1.14,175.97,0.21,12.55,3.64,0.95,70,100,60,78,87,120,0.34,0,0,100,120,100,5,91,91,85
Meritus Medical Center,"11116 Medical Campus Road Hagerstown, MD",c,b,c,d,c,c,ns,0.633,0.702,0.291,0.668,1.903,0.07,1.04,188.74,0.34,7.1,4.91,1.29,100,100,60,75,89,120,0.94,0.558,0,100,110.77,100,100,90,91,83
Methodist Charlton Medical Center,"3500 W. Wheatland Road Dallas, TX",a,a,a,a,b,b,b,1.499,0.908,0.908,0.629,0,0,0.9,138.26,0.24,6.24,3.27,1.35,100,100,60,76,85,120,0.55,0.13,0,100,120,100,100,90,90,81
Methodist Dallas Medical Center,"1441 N. Beckley Avenue Dallas, TX",a,a,a,a,a,a,a,0.409,0.851,0.49,0.827,0.822,0,0.81,143.51,0.27,7.57,2.91,1.5,100,100,60,80,86,120,0.19,0.424,0,100,120,100,100,93,92,84
Methodist Fremont Health,"450 EAST 23RD ST Fremont, NE",c,c,c,c,b,c,c,-1,0.337,-1,-1,-1,0,0.92,-1,0.25,6.4,3.48,1.48,45,45,-2,81,91,-2,1.02,0,0,-2,-2,-2,5,93,92,87
Methodist Health of Henderson,"1305 N. Elm Street Henderson, KY",c,c,f,d,c,c,b,-1,0.843,2.459,0.689,-1,0,0.94,-1,0.25,10.41,3.71,1.18,100,100,60,74,87,120,0.88,0.781,0,100,120,100,5,91,91,82
Methodist Hospital,"7700 Floyd Curl Dr San Antonio, TX",a,b,a,a,a,a,b,1.058,0.721,0.697,1.824,1.558,0,0.56,172.01,0.34,9.53,3.82,0.98,100,100,60,81,87,120,0.34,0.256,0,100,120,100,100,91,91,85
Methodist Hospital,"8303 Dodge Street Omaha, NE",c,c,b,c,c,b,b,0.363,0.628,0.444,0.487,1.858,0.084,1.12,142.24,0.31,12.15,4.29,1.11,45,5,-2,81,90,-2,0.45,1.098,0,-2,-2,-2,5,92,93,88
Methodist Hospital South,"1905 Highway 97 East Jourdanton, TX",a,a,a,a,ns,a,a,-1,0.429,-1,-1,0,0,0.93,-1,0.26,4.92,3.54,1.22,100,100,60,83,88,120,0.36,0,0,90.91,120,100,5,92,93,92
Methodist Hospital of Sacramento,"7500 Hospital Drive Sacramento, CA",c,c,c,c,c,b,b,2.863,0.526,2.282,0.42,0.675,0,0.91,166.38,0.24,6.21,2.45,1.65,100,100,60,79,86,120,0.32,0.636,0,100,120,100,50,90,90,79
Mercy Medical Center,"345 St Paul Pl Baltimore, MD",b,a,a,b,b,b,ns,0.458,0.714,1.104,0.776,2.102,0,0.76,165.22,0.25,6.39,3.21,2.4,100,100,60,78,89,120,0.74,0.243,0,100,120,100,100,91,90,85
Methodist Hospital of Southern California,"300 W. Huntington Drive Arcadia, CA",d,c,c,c,c,c,b,0,0.675,1.158,0.778,0.752,0,0.84,158.06,0.29,12.86,3.83,1.3,45,45,-2,76,85,-2,1.5,0.299,0,-2,-2,-2,5,91,90,80
Methodist Hospitals - Northlake Campus,"600 Grant Street Gary, IN",c,c,c,c,b,b,b,0.47,0.531,0.873,0.535,1.048,0,0.84,183.19,0.22,9.89,5.02,0.92,45,45,-2,79,84,-2,0.16,0.278,0,-2,-2,-2,5,90,91,83
Methodist Jennie Edmundson Hospital,"933 E. Pierce Street Council Bluffs, IA",c,c,a,a,a,a,a,0,0.857,-1,0.837,-1,0,1.19,162.85,0.28,4.02,2.52,1.12,45,5,-2,82,90,-2,0.44,0.659,0,-2,-2,-2,5,91,92,88
Methodist Le Bonheur Germantown Hospital,"7691 Poplar Avenue Germantown, TN",a,a,a,b,b,b,b,0.591,0.463,0.153,0.422,0.38,0,0.92,180.73,0.32,9.73,5.2,1.82,100,100,60,79,87,120,0.3,0.499,0,100,120,100,100,91,91,84
Methodist Hospitals - Southlake Campus,"8701 Broadway Merrillville, IN",c,c,c,c,b,b,b,0.47,0.531,0.873,0.535,1.048,0,0.84,183.19,0.22,9.89,5.02,0.92,45,45,-2,79,84,-2,0.16,0.278,0,-2,-2,-2,5,90,91,83
